----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 64, 336, 512]           9,408
       BatchNorm2d-2         [-1, 64, 336, 512]             128
              ReLU-3         [-1, 64, 336, 512]               0
         MaxPool2d-4         [-1, 64, 168, 256]               0
            Conv2d-5        [-1, 128, 168, 256]           8,192
       BatchNorm2d-6        [-1, 128, 168, 256]             256
              ReLU-7        [-1, 128, 168, 256]               0
            Conv2d-8        [-1, 128, 168, 256]           4,608
       BatchNorm2d-9        [-1, 128, 168, 256]             256
             ReLU-10        [-1, 128, 168, 256]               0
           Conv2d-11        [-1, 256, 168, 256]          32,768
      BatchNorm2d-12        [-1, 256, 168, 256]             512
           Conv2d-13        [-1, 256, 168, 256]          16,384
      BatchNorm2d-14        [-1, 256, 168, 256]             512
             ReLU-15        [-1, 256, 168, 256]               0
       Bottleneck-16        [-1, 256, 168, 256]               0
           Conv2d-17        [-1, 128, 168, 256]          32,768
      BatchNorm2d-18        [-1, 128, 168, 256]             256
             ReLU-19        [-1, 128, 168, 256]               0
           Conv2d-20        [-1, 128, 168, 256]           4,608
      BatchNorm2d-21        [-1, 128, 168, 256]             256
             ReLU-22        [-1, 128, 168, 256]               0
           Conv2d-23        [-1, 256, 168, 256]          32,768
      BatchNorm2d-24        [-1, 256, 168, 256]             512
             ReLU-25        [-1, 256, 168, 256]               0
       Bottleneck-26        [-1, 256, 168, 256]               0
           Conv2d-27        [-1, 128, 168, 256]          32,768
      BatchNorm2d-28        [-1, 128, 168, 256]             256
             ReLU-29        [-1, 128, 168, 256]               0
           Conv2d-30        [-1, 128, 168, 256]           4,608
      BatchNorm2d-31        [-1, 128, 168, 256]             256
             ReLU-32        [-1, 128, 168, 256]               0
           Conv2d-33        [-1, 256, 168, 256]          32,768
      BatchNorm2d-34        [-1, 256, 168, 256]             512
             ReLU-35        [-1, 256, 168, 256]               0
       Bottleneck-36        [-1, 256, 168, 256]               0
           Conv2d-37        [-1, 256, 168, 256]          65,536
      BatchNorm2d-38        [-1, 256, 168, 256]             512
             ReLU-39        [-1, 256, 168, 256]               0
           Conv2d-40         [-1, 256, 84, 128]          18,432
      BatchNorm2d-41         [-1, 256, 84, 128]             512
             ReLU-42         [-1, 256, 84, 128]               0
           Conv2d-43         [-1, 512, 84, 128]         131,072
      BatchNorm2d-44         [-1, 512, 84, 128]           1,024
           Conv2d-45         [-1, 512, 84, 128]         131,072
      BatchNorm2d-46         [-1, 512, 84, 128]           1,024
             ReLU-47         [-1, 512, 84, 128]               0
       Bottleneck-48         [-1, 512, 84, 128]               0
           Conv2d-49         [-1, 256, 84, 128]         131,072
      BatchNorm2d-50         [-1, 256, 84, 128]             512
             ReLU-51         [-1, 256, 84, 128]               0
           Conv2d-52         [-1, 256, 84, 128]          18,432
      BatchNorm2d-53         [-1, 256, 84, 128]             512
             ReLU-54         [-1, 256, 84, 128]               0
           Conv2d-55         [-1, 512, 84, 128]         131,072
      BatchNorm2d-56         [-1, 512, 84, 128]           1,024
             ReLU-57         [-1, 512, 84, 128]               0
       Bottleneck-58         [-1, 512, 84, 128]               0
           Conv2d-59         [-1, 256, 84, 128]         131,072
      BatchNorm2d-60         [-1, 256, 84, 128]             512
             ReLU-61         [-1, 256, 84, 128]               0
           Conv2d-62         [-1, 256, 84, 128]          18,432
      BatchNorm2d-63         [-1, 256, 84, 128]             512
             ReLU-64         [-1, 256, 84, 128]               0
           Conv2d-65         [-1, 512, 84, 128]         131,072
      BatchNorm2d-66         [-1, 512, 84, 128]           1,024
             ReLU-67         [-1, 512, 84, 128]               0
       Bottleneck-68         [-1, 512, 84, 128]               0
           Conv2d-69         [-1, 256, 84, 128]         131,072
      BatchNorm2d-70         [-1, 256, 84, 128]             512
             ReLU-71         [-1, 256, 84, 128]               0
           Conv2d-72         [-1, 256, 84, 128]          18,432
      BatchNorm2d-73         [-1, 256, 84, 128]             512
             ReLU-74         [-1, 256, 84, 128]               0
           Conv2d-75         [-1, 512, 84, 128]         131,072
      BatchNorm2d-76         [-1, 512, 84, 128]           1,024
             ReLU-77         [-1, 512, 84, 128]               0
       Bottleneck-78         [-1, 512, 84, 128]               0
           Conv2d-79         [-1, 512, 84, 128]         262,144
      BatchNorm2d-80         [-1, 512, 84, 128]           1,024
             ReLU-81         [-1, 512, 84, 128]               0
           Conv2d-82          [-1, 512, 42, 64]          73,728
      BatchNorm2d-83          [-1, 512, 42, 64]           1,024
             ReLU-84          [-1, 512, 42, 64]               0
           Conv2d-85         [-1, 1024, 42, 64]         524,288
      BatchNorm2d-86         [-1, 1024, 42, 64]           2,048
           Conv2d-87         [-1, 1024, 42, 64]         524,288
      BatchNorm2d-88         [-1, 1024, 42, 64]           2,048
             ReLU-89         [-1, 1024, 42, 64]               0
       Bottleneck-90         [-1, 1024, 42, 64]               0
           Conv2d-91          [-1, 512, 42, 64]         524,288
      BatchNorm2d-92          [-1, 512, 42, 64]           1,024
             ReLU-93          [-1, 512, 42, 64]               0
           Conv2d-94          [-1, 512, 42, 64]          73,728
      BatchNorm2d-95          [-1, 512, 42, 64]           1,024
             ReLU-96          [-1, 512, 42, 64]               0
           Conv2d-97         [-1, 1024, 42, 64]         524,288
      BatchNorm2d-98         [-1, 1024, 42, 64]           2,048
             ReLU-99         [-1, 1024, 42, 64]               0
      Bottleneck-100         [-1, 1024, 42, 64]               0
          Conv2d-101          [-1, 512, 42, 64]         524,288
     BatchNorm2d-102          [-1, 512, 42, 64]           1,024
            ReLU-103          [-1, 512, 42, 64]               0
          Conv2d-104          [-1, 512, 42, 64]          73,728
     BatchNorm2d-105          [-1, 512, 42, 64]           1,024
            ReLU-106          [-1, 512, 42, 64]               0
          Conv2d-107         [-1, 1024, 42, 64]         524,288
     BatchNorm2d-108         [-1, 1024, 42, 64]           2,048
            ReLU-109         [-1, 1024, 42, 64]               0
      Bottleneck-110         [-1, 1024, 42, 64]               0
          Conv2d-111          [-1, 512, 42, 64]         524,288
     BatchNorm2d-112          [-1, 512, 42, 64]           1,024
            ReLU-113          [-1, 512, 42, 64]               0
          Conv2d-114          [-1, 512, 42, 64]          73,728
     BatchNorm2d-115          [-1, 512, 42, 64]           1,024
            ReLU-116          [-1, 512, 42, 64]               0
          Conv2d-117         [-1, 1024, 42, 64]         524,288
     BatchNorm2d-118         [-1, 1024, 42, 64]           2,048
            ReLU-119         [-1, 1024, 42, 64]               0
      Bottleneck-120         [-1, 1024, 42, 64]               0
          Conv2d-121          [-1, 512, 42, 64]         524,288
     BatchNorm2d-122          [-1, 512, 42, 64]           1,024
            ReLU-123          [-1, 512, 42, 64]               0
          Conv2d-124          [-1, 512, 42, 64]          73,728
     BatchNorm2d-125          [-1, 512, 42, 64]           1,024
            ReLU-126          [-1, 512, 42, 64]               0
          Conv2d-127         [-1, 1024, 42, 64]         524,288
